jwoodcock  sshd         thinclient       Tue Feb  3 15:38 - 15:40  (00:01)
jwoodcock  pts/7        thinclient       Wed Jan 28 14:55 - 16:26  (01:31)
jwoodcock  sshd         thinclient       Wed Jan 28 14:55 - 16:26  (01:31)
jwoodcock  dtlocal      :14              Thu Jan 22 20:39 - 20:39  (00:00)
jwoodcock  dtlocal      :17              Thu Jan 15 20:25 - 20:27  (00:02)
jwoodcock  pts/3        thinclient       Thu Jan 15 20:15 - 21:56  (01:40)
jwoodcock  sshd         thinclient       Thu Jan 15 20:15 - 21:56  (01:40)
jwoodcock  pts/4        thinclient       Wed Jan 14 15:25 - 15:37  (00:11)
jwoodcock  sshd         thinclient       Wed Jan 14 15:25 - 15:37  (00:12)
jwoodcock  pts/3        thinclient       Wed Jan 14 13:48 - 13:48  (00:00)
jwoodcock  sshd         thinclient       Wed Jan 14 13:48 - 13:48  (00:00)
jwoodcock  pts/4        thinclient       Fri Jan  9 22:35 - 22:37  (00:01)
jwoodcock  sshd         thinclient       Fri Jan  9 22:35 - 22:37  (00:01)
jwoodcock  pts/4        thinclient       Fri Jan  9 22:32 - 22:35  (00:02)
jwoodcock  sshd         thinclient       Fri Jan  9 22:32 - 22:35  (00:02)
jwoodcock  pts/24       thinclient       Tue Dec  9 10:50 - 12:02  (01:12)
jwoodcock  sshd         thinclient       Tue Dec  9 10:50 - 12:02  (01:12)
jwoodcock  pts/8        thinclient       Thu Dec  4 16:18 - 16:27  (00:08)
jwoodcock  sshd         thinclient       Thu Dec  4 16:18 - 16:27  (00:08)
jwoodcock  pts/15       231-52-77-204.sp Wed Nov 19 16:20 - 16:20  (00:00)
jwoodcock  sshd         231-52-77-204.sp Wed Nov 19 16:20 - 16:20  (00:00)
jwoodcock  vt/7         :0               Thu Sep 18 10:32 - 10:33  (00:00)
jwoodcock  vt/7         :0               Thu Sep 18 10:08 - 10:11  (00:03)
jwoodcock  pts/2        231-52-77-204.sp Thu Aug 28 14:01 - 14:16  (00:15)
